Date,"Transaction ID:",Details,Turnover,Balance,Currency
"2020-01-02 13:56:16",1388144070,"Loan 23844374-01 - secondary market transaction  Mintos Strategies (previously Invest & Access)",-4.5,0.289739375555,EUR
"2020-01-02 23:05:06",-514141317,"Loan 21157138-01 - interest received",0.002479304073,0.292218679628,EUR
"2020-01-02 23:05:08",-514141321,"Loan 21157138-01 - principal received",0.042708333333333,0.33492701296134,EUR
"2020-01-02 23:07:32",-514141324,"Loan 21157470-01 - interest received",0.001448894312,0.33637590727334,EUR
"2020-01-02 23:07:49",-514141326,"Loan 21157470-01 - principal received",0.024993945265196,0.36136985253853,EUR
"2020-01-02 23:13:32",-514141328,"Loan 21156638-01 - interest received",0.00118603463,0.36255588716853,EUR
"2020-01-02 23:13:35",-514141330,"Loan 21156638-01 - principal received",0.021283211293006,0.38383909846154,EUR
"2020-01-02 23:16:03",-514141332,"Loan 24379130-01 - interest received",0.026964603358,0.41080370181954,EUR
"2020-01-02 23:16:08",-514141334,"Loan 24379130-01 - principal received",0.3161057222837,0.72690942410324,EUR
"2020-01-02 23:20:34",-514141336,"Loan 21157143-01 - interest received",0.006008136731,0.73291756083424,EUR
"2020-01-02 23:20:37",-514141338,"Loan 21157143-01 - principal received",0.17095907702406,0.9038766378583,EUR
"2020-01-02 23:25:16",-514141340,"Loan 23844386-01 - interest received",0.001583955723,0.9054605935813,EUR
"2020-01-02 23:25:22",-514141345,"Loan 23844386-01 - principal received",0.067599163894075,0.97305975747538,EUR
"2020-01-02 23:25:31",-514141347,"Loan 23844386-01 - interest received",0.0054746624930074,0.97853441996839,EUR
"2020-01-02 23:25:38",-514141349,"Loan 23844386-01 - principal received",0.067599163894075,1.0461335838625,EUR
"2020-01-02 23:53:36",-514141351,"Loan 21157045-01 - interest received",0.0017271716094395,1.0478607554719,EUR
"2020-01-02 23:53:38",-514141355,"Loan 21157045-01 - principal received",0.030211518612812,1.0780722740847,EUR
"2020-01-02 23:57:15",-514141358,"Loan 24922195-01 - interest received",0.008321731171744,1.0863940052565,EUR
"2020-01-02 23:57:21",-514141360,"Loan 24922195-01 - principal received",0.0052284484138871,1.0916224536703,EUR
